STATE,DISTRICT_NAME,AC_NO,NEW_REGION_TYPE
Andhra Pradesh,East Godavari,162,Rural
Andhra Pradesh,East Godavari,161,Rural
Andhra Pradesh,East Godavari,160,Urban
Andhra Pradesh,East Godavari,159,Rural
Andhra Pradesh,East Godavari,158,Urban
Andhra Pradesh,East Godavari,157,Urban
Andhra Pradesh,East Godavari,156,Urban
Andhra Pradesh,East Godavari,155,Rural
Andhra Pradesh,East Godavari,154,Rural
Assam,Nagaon,87; 88,Rural
Assam,Nagaon,82; 83,Rural
Assam,Morigaon,79; 80,Rural
Assam,Kamrup Metropolitan,52; 53,Urban
Assam,Karimganj,2; 3,Rural
Assam,Nagaon,92,Rural
Assam,Nagaon,91,Rural
Assam,Nagaon,90,Rural
Assam,Nagaon,89,Rural
Assam,Nagaon,85,Rural
Assam,Morigaon,81,Rural
Assam,Cachar,15,Rural
Assam,Cachar,14,Rural
Assam,Cachar,13,Rural
Assam,Cachar,12,Rural
Assam,Cachar,11,Rural
Assam,Cachar,10,Rural
Assam,Cachar,9,Urban
Assam,Cachar,8,Rural
Assam,Karimganj,4,Rural
Assam,Karimganj,1,Rural
Bihar,Sheikhpura,169; 170,Rural
Bihar,Saran,122,Rural
Bihar,Saran,121,Rural
Bihar,Saran,120,Rural
Bihar,Saran,119,Rural
Bihar,Saran,118,Urban
Bihar,Saran,117,Rural
Bihar,Saran,116,Rural
Bihar,Saran,115,Rural
Bihar,Saran,114,Rural
Bihar,Saran,113,Rural
Bihar,Gopalganj,104,Urban
Bihar,Gopalganj,103,Rural
Bihar,Gopalganj,102,Rural
Bihar,Gopalganj,101,Rural
Bihar,Gopalganj,100,Rural
Bihar,Gopalganj,99,Rural
Bihar,Saharsa,75,Urban
Bihar,Madhepura,73,Urban
Bihar,Madhepura,72,Rural
Bihar,Madhepura,71,Rural
Bihar,Madhepura,70,Rural
Bihar,Sheohar,30,Urban
Bihar,Sheohar,22,Rural
Chhattisgarh,Bastar,85; 86,Rural
Chhattisgarh,Bastar,87,Rural
Chhattisgarh,Dhamtari,58,Urban
Chhattisgarh,Dhamtari,57,Rural
Chhattisgarh,Dhamtari,56,Rural
Chhattisgarh,Raipur,53,Rural
Chhattisgarh,Raipur,52,Rural
Chhattisgarh,Raipur,51,Urban
Chhattisgarh,Raipur,50,Urban
Chhattisgarh,Raipur,49,Urban
Chhattisgarh,Raipur,48,Urban
Chhattisgarh,Raipur,47,Rural
Chhattisgarh,Janjgir - Champa,38,Rural
Chhattisgarh,Janjgir - Champa,37,Rural
Chhattisgarh,Janjgir - Champa,36,Rural
Chhattisgarh,Janjgir - Champa,35,Urban
Chhattisgarh,Janjgir - Champa,34,Rural
Chhattisgarh,Janjgir - Champa,33,Rural
Goa,North Goa,23,Urban
Goa,North Goa,22,Rural
Goa,North Goa,21,Urban
Goa,North Goa,20,Rural
Goa,North Goa,19,Rural
Goa,North Goa,18,Rural
Goa,North Goa,17,Rural
Goa,North Goa,16,Urban
Goa,North Goa,15,Urban
Goa,North Goa,14,Rural
Goa,North Goa,13,Urban
Goa,North Goa,12,Urban
Goa,North Goa,11,Urban
Goa,North Goa,10,Urban
Goa,North Goa,9,Urban
Goa,North Goa,8,Urban
Goa,North Goa,7,Urban
Goa,North Goa,6,Urban
Goa,North Goa,5,Urban
Goa,North Goa,4,Rural
Goa,North Goa,3,Rural
Goa,North Goa,2,Rural
Goa,North Goa,1,Rural
Gujarat,Jamnagar,76; 77 ; 80,Rural
Gujarat,Jamnagar,78; 79,Urban
Gujarat,Patan,17; 19,Rural
Gujarat,Patan,16,Rural
Gujarat,Banas Kantha,15,Rural
Gujarat,Banas Kantha,14,Rural
Gujarat,Banas Kantha,13,Urban
Gujarat,Banas Kantha,12,Urban
Gujarat,Banas Kantha,11,Rural
Gujarat,Banas Kantha,10,Rural
Gujarat,Banas Kantha,9,Rural
Gujarat,Banas Kantha,8,Rural
Gujarat,Banas Kantha,7,Rural
Himachal Pradesh,Una,44; 45,Rural
Himachal Pradesh,Una,42; 43,Rural
Himachal Pradesh,Una,41,Rural
Himachal Pradesh,Mandi,35,Rural
Himachal Pradesh,Mandi,34,Rural
Himachal Pradesh,Mandi,33,Urban
Himachal Pradesh,Mandi,32,Rural
Himachal Pradesh,Mandi,31,Rural
Himachal Pradesh,Mandi,30,Rural
Himachal Pradesh,Mandi,29,Rural
Himachal Pradesh,Mandi,28,Rural
Himachal Pradesh,Mandi,27,Rural
Himachal Pradesh,Mandi,26,Rural
Jammu & Kashmir,Bandipore,9; 10 ,Rural
Jammu & Kashmir,Ganderbal,16; 17,Rural
Jharkhand,Jamtara,9,Rural
Jharkhand,Pakur,4; 5,Rural
Jharkhand,Palamu,78,Rural
Jharkhand,Palamu,76,Urban
Jharkhand,Jamtara,8,Rural
Jharkhand,Pakur,6,Rural
Karnataka,Udupi,121,Rural
Karnataka,Udupi,120,Urban
Karnataka,Udupi,119,Urban
Kerala,Pathanamthitta,113; 112,Rural
Kerala,Pathanamthitta,115,Rural
Kerala,Pathanamthitta,114,Rural
Kerala,Alappuzha,110,Urban
Kerala,Alappuzha,109,Rural
Kerala,Alappuzha,108,Urban
Kerala,Alappuzha,107,Rural
Kerala,Alappuzha,106,Rural
Kerala,Alappuzha,105,Urban
Kerala,Alappuzha,104,Urban
Kerala,Alappuzha,103,Urban
Kerala,Alappuzha,102,Urban
Kerala,Thrissur,72,Rural
Kerala,Thrissur,71,Rural
Kerala,Thrissur,70,Urban
Kerala,Thrissur,68,Urban
Kerala,Thrissur,66,Rural
Kerala,Thrissur,65,Rural
Kerala,Thrissur,64,Rural
Kerala,Thrissur,62,Rural
Kerala,Thrissur,61,Rural
Kerala,Kozhikode,32,Rural
Kerala,Kozhikode,31,Rural
Kerala,Kozhikode,30,Urban
Kerala,Kozhikode,29,Urban
Kerala,Kozhikode,28,Urban
Kerala,Kozhikode,27,Urban
Kerala,Kozhikode,26,Rural
Kerala,Kozhikode,25,Rural
Kerala,Kozhikode,24,Rural
Kerala,Kozhikode,23,Urban
Kerala,Kozhikode,22,Rural
Kerala,Kozhikode,21,Rural
Kerala,Kozhikode,20,Urban
Madhya Pradesh,Guna,30; 31,Rural
Madhya Pradesh,Betul,129; 130,Rural
Madhya Pradesh,Mandla,106; 107,Rural
Madhya Pradesh,Jhabua,195,Rural
Madhya Pradesh,Jhabua,194,Rural
Madhya Pradesh,Jhabua,193,Urban
Madhya Pradesh,Burhanpur,180,Urban
Madhya Pradesh,Harda,135,Urban
Madhya Pradesh,Betul,133,Rural
Madhya Pradesh,Betul,132,Rural
Madhya Pradesh,Mandla,105,Rural
Madhya Pradesh,Anuppur,87,Urban
Madhya Pradesh,Anuppur,86,Rural
Madhya Pradesh,Singrauli,81,Urban
Madhya Pradesh,Singrauli,80,Rural
Madhya Pradesh,Guna,28,Rural
Maharashtra,Kolhapur,280,Urban
Maharashtra,Kolhapur,279,Urban
Maharashtra,Kolhapur,278,Urban
Maharashtra,Kolhapur,277,Rural
Maharashtra,Kolhapur,276,Urban
Maharashtra,Kolhapur,275,Rural
Maharashtra,Kolhapur,274,Urban
Maharashtra,Kolhapur,273,Urban
Maharashtra,Kolhapur,272,Rural
Maharashtra,Kolhapur,271,Rural
Maharashtra,Sindhudurg,270,Urban
Maharashtra,Sindhudurg,269,Rural
Maharashtra,Sindhudurg,268,Rural
Maharashtra,Bhandara,62,Rural
Maharashtra,Bhandara,61,Urban
Maharashtra,Bhandara,60,Rural
Odisha,Koraput,145,Rural
Odisha,Koraput,144,Rural
Odisha,Koraput,143,Urban
Odisha,Koraput,142,Rural
Odisha,Koraput,141,Rural
Odisha,Anugul,63,Rural
Odisha,Anugul,62,Rural
Odisha,Anugul,61,Rural
Odisha,Anugul,60,Urban
Odisha,Anugul,59,Rural
Punjab,Rupnagar,50,Urban
Punjab,Rupnagar,49,Rural
Rajasthan,Rajsamand,176,Rural
Rajasthan,Rajsamand,175,Urban
Rajasthan,Sawai Madhopur,93,Urban
Rajasthan,Sawai Madhopur,92,Rural
Rajasthan,Sawai Madhopur,91,Rural
Tamil Nadu,Thoothukkudi,213;  217,Rural
Uttar Pradesh,Mirzapur,398; 399,Rural
Uttar Pradesh,Mirzapur,395; 396,Rural
Uttar Pradesh,Varanasi,391,Rural
Uttar Pradesh,Varanasi,390,Urban
Uttar Pradesh,Varanasi,389,Urban
Uttar Pradesh,Varanasi,388,Urban
Uttar Pradesh,Varanasi,387,Urban
Uttar Pradesh,Varanasi,386,Urban
Uttar Pradesh,Varanasi,385,Rural
Uttar Pradesh,Varanasi,384,Rural
Uttar Pradesh,Chitrakoot,237,Rural
Uttar Pradesh,Chitrakoot,236,Urban
Uttarakhand,Garhwal,36; 38,Rural
Uttarakhand,Uttarkashi,1; 2,Rural
Uttarakhand,Garhwal,40,Rural
Uttarakhand,Garhwal,39,Rural
Uttarakhand,Uttarkashi,3,Rural
West Bengal,Paschim Medinipur,237,Rural
West Bengal,Paschim Medinipur,236,Rural
West Bengal,Paschim Medinipur,235,Rural
West Bengal,Paschim Medinipur,234,Rural
West Bengal,Paschim Medinipur,233,Rural
West Bengal,Paschim Medinipur,232,Rural
West Bengal,Paschim Medinipur,231,Urban
West Bengal,Paschim Medinipur,230,Rural
West Bengal,Paschim Medinipur,229,Rural
West Bengal,Paschim Medinipur,228,Urban
West Bengal,Paschim Medinipur,227,Rural
West Bengal,Paschim Medinipur,226,Rural
West Bengal,Paschim Medinipur,225,Rural
West Bengal,Paschim Medinipur,224,Urban
West Bengal,Paschim Medinipur,223,Rural
West Bengal,Paschim Medinipur,222,Rural
West Bengal,Paschim Medinipur,221,Rural
West Bengal,Paschim Medinipur,220,Rural
West Bengal,Paschim Medinipur,219,Rural
West Bengal,South Twenty Four Parganas,157,Urban
West Bengal,South Twenty Four Parganas,156,Urban
West Bengal,South Twenty Four Parganas,155,Urban
West Bengal,South Twenty Four Parganas,154,Urban
West Bengal,South Twenty Four Parganas,153,Urban
West Bengal,South Twenty Four Parganas,152,Urban
West Bengal,South Twenty Four Parganas,151,Urban
West Bengal,South Twenty Four Parganas,150,Urban
West Bengal,South Twenty Four Parganas,149,Urban
West Bengal,South Twenty Four Parganas,148,Rural
West Bengal,South Twenty Four Parganas,147,Urban
West Bengal,South Twenty Four Parganas,146,Rural
West Bengal,South Twenty Four Parganas,145,Urban
West Bengal,South Twenty Four Parganas,144,Urban
West Bengal,South Twenty Four Parganas,143,Rural
West Bengal,South Twenty Four Parganas,142,Rural
West Bengal,South Twenty Four Parganas,141,Rural
West Bengal,South Twenty Four Parganas,140,Urban
West Bengal,South Twenty Four Parganas,139,Rural
West Bengal,South Twenty Four Parganas,138,Rural
West Bengal,South Twenty Four Parganas,137,Rural
West Bengal,South Twenty Four Parganas,136,Rural
West Bengal,South Twenty Four Parganas,135,Rural
West Bengal,South Twenty Four Parganas,134,Rural
West Bengal,South Twenty Four Parganas,133,Rural
West Bengal,South Twenty Four Parganas,132,Rural
West Bengal,South Twenty Four Parganas,131,Rural
West Bengal,South Twenty Four Parganas,130,Rural
West Bengal,South Twenty Four Parganas,129,Rural
West Bengal,South Twenty Four Parganas,128,Rural
West Bengal,South Twenty Four Parganas,116,Urban
