map_type,STATE,DISTRICT_NAME,AC_NO,NEW_REGION_TYPE
post,Madhya Pradesh,Jhabua,193,Urban
post,Madhya Pradesh,Jhabua,194,Rural
post,Madhya Pradesh,Jhabua,195,Rural
post,Madhya Pradesh,Harda,134,NA
post,Madhya Pradesh,Harda,135,Urban
post,Madhya Pradesh,Anuppur,87,Urban
post,Madhya Pradesh,Guna,28,Rural
post,Madhya Pradesh,Guna,30,Rural
post,Madhya Pradesh,Mandla,105,Rural
post,Madhya Pradesh,Mandla,106,Rural
post,Madhya Pradesh,Burhanpur,179,NA
post,Madhya Pradesh,Burhanpur,180,Urban
post,Madhya Pradesh,Betul,129,Rural
post,Madhya Pradesh,Betul,132,Rural
post,Madhya Pradesh,Betul,133,Rural
post,Maharashtra,Bhandara,60,Rural
post,Maharashtra,Bhandara,61,Urban
post,Maharashtra,Bhandara,62,Rural
post,Maharashtra,Kolhapur,271,Rural
post,Maharashtra,Kolhapur,272,Rural
post,Maharashtra,Kolhapur,273,Urban
post,Maharashtra,Kolhapur,274,Urban
post,Maharashtra,Kolhapur,275,Rural
post,Maharashtra,Kolhapur,276,Urban
post,Maharashtra,Kolhapur,277,Rural
post,Maharashtra,Kolhapur,278,Urban
post,Maharashtra,Kolhapur,279,Urban
post,Maharashtra,Kolhapur,280,Urban
post,Odisha,Gajapati,136,NA
post,Odisha,Koraput,141,Rural
post,Odisha,Koraput,142,Rural
post,Odisha,Koraput,143,Urban
post,Odisha,Koraput,144,Rural
post,Odisha,Koraput,145,Rural
post,Odisha,Balangir,66,NA
post,Odisha,Balangir,67,NA
post,Odisha,Balangir,68,NA
post,Odisha,Balangir,69,NA
post,Odisha,Balangir,70,NA
post,Odisha,Anugul,59,Rural
post,Odisha,Anugul,60,Urban
post,Odisha,Anugul,61,Rural
post,Odisha,Anugul,62,Rural
post,Odisha,Anugul,63,Rural
post,Punjab,Rupnagar,49,Rural
post,Punjab,Rupnagar,50,Urban
post,Punjab,Rupnagar,51,NA
post,Punjab,Faridkot,88,NA
post,Punjab,Muktsar,83,NA
post,Punjab,Muktsar,84,NA
post,Rajasthan,Sawai Madhopur,91,Rural
post,Rajasthan,Sawai Madhopur,92,Rural
post,Rajasthan,Sawai Madhopur,93,Urban
post,Rajasthan,Rajsamand,173,NA
post,Rajasthan,Rajsamand,174,NA
post,Rajasthan,Rajsamand,175,Urban
post,Rajasthan,Rajsamand,176,Rural
post,Rajasthan,Karauli,83,NA
post,Rajasthan,Karauli,81,Rural
post,Rajasthan,Karauli,84,NA
post,Rajasthan,Karauli,90,NA
post,Tamil Nadu,Kanniyakumari,229,NA
post,Tamil Nadu,Kanniyakumari,231,Urban
post,Tamil Nadu,Kanniyakumari,232,NA
post,Tamil Nadu,Kanniyakumari,233,Urban
post,Tamil Nadu,Kanniyakumari,234,Urban
post,Tamil Nadu,Thoothukkudi,213,Rural
post,Uttar Pradesh,Mirzapur,395,Rural
post,Uttar Pradesh,Mirzapur,399,Rural
post,Uttar Pradesh,Chitrakoot,236,Urban
post,Uttar Pradesh,Chitrakoot,237,Rural
post,Uttar Pradesh,Varanasi,384,Rural
post,Uttar Pradesh,Varanasi,385,Rural
post,Uttar Pradesh,Varanasi,386,Urban
post,Uttar Pradesh,Varanasi,387,Urban
post,Uttar Pradesh,Varanasi,388,Urban
post,Uttar Pradesh,Varanasi,389,Urban
post,Uttar Pradesh,Varanasi,390,Urban
post,Uttar Pradesh,Varanasi,391,Rural
post,Uttar Pradesh,Mahoba,231,NA
post,Uttar Pradesh,Gautam Buddha Nagar,55,NA
post,Uttar Pradesh,Gautam Buddha Nagar,61,NA
post,Uttar Pradesh,Gautam Buddha Nagar,62,Rural
post,West Bengal,South Twenty Four Parganas,116,Urban
post,West Bengal,South Twenty Four Parganas,128,Rural
post,West Bengal,South Twenty Four Parganas,129,Rural
post,West Bengal,South Twenty Four Parganas,130,Rural
post,West Bengal,South Twenty Four Parganas,131,Rural
post,West Bengal,South Twenty Four Parganas,132,Rural
post,West Bengal,South Twenty Four Parganas,133,Rural
post,West Bengal,South Twenty Four Parganas,134,Rural
post,West Bengal,South Twenty Four Parganas,135,Rural
post,West Bengal,South Twenty Four Parganas,136,Rural
post,West Bengal,South Twenty Four Parganas,137,Rural
post,West Bengal,South Twenty Four Parganas,138,Rural
post,West Bengal,South Twenty Four Parganas,139,Rural
post,West Bengal,South Twenty Four Parganas,140,Urban
post,West Bengal,South Twenty Four Parganas,141,Rural
post,West Bengal,South Twenty Four Parganas,142,Rural
post,West Bengal,South Twenty Four Parganas,143,Rural
post,West Bengal,South Twenty Four Parganas,144,Urban
post,West Bengal,South Twenty Four Parganas,145,Urban
post,West Bengal,South Twenty Four Parganas,146,Rural
post,West Bengal,South Twenty Four Parganas,147,Urban
post,West Bengal,South Twenty Four Parganas,148,Rural
post,West Bengal,South Twenty Four Parganas,149,Urban
post,West Bengal,South Twenty Four Parganas,150,Urban
post,West Bengal,South Twenty Four Parganas,151,Urban
post,West Bengal,South Twenty Four Parganas,152,Urban
post,West Bengal,South Twenty Four Parganas,153,Urban
post,West Bengal,South Twenty Four Parganas,154,Urban
post,West Bengal,South Twenty Four Parganas,155,Urban
post,West Bengal,South Twenty Four Parganas,156,Urban
post,West Bengal,South Twenty Four Parganas,157,Urban
post,West Bengal,Paschim Medinipur,219,Rural
post,West Bengal,Paschim Medinipur,220,Rural
post,West Bengal,Paschim Medinipur,221,Rural
post,West Bengal,Paschim Medinipur,222,Rural
post,West Bengal,Paschim Medinipur,223,Rural
post,West Bengal,Paschim Medinipur,224,Urban
post,West Bengal,Paschim Medinipur,225,Rural
post,West Bengal,Paschim Medinipur,226,Rural
post,West Bengal,Paschim Medinipur,227,Rural
post,West Bengal,Paschim Medinipur,228,Urban
post,West Bengal,Paschim Medinipur,229,Rural
post,West Bengal,Paschim Medinipur,230,Rural
post,West Bengal,Paschim Medinipur,231,Urban
post,West Bengal,Paschim Medinipur,232,Rural
post,West Bengal,Paschim Medinipur,233,Rural
post,West Bengal,Paschim Medinipur,234,Rural
post,West Bengal,Paschim Medinipur,235,Rural
post,West Bengal,Paschim Medinipur,236,Rural
post,West Bengal,Paschim Medinipur,237,Rural
